latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
17.113615,100.141228,335.5,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.9,4.56,D,0
17.087465,99.973335,334.81,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.49,3.31,D,0
16.872181,98.624283,347.66,0.42,0.38,2021-12-01,0630,N,VIIRS,n,1,300.36,6.36,D,0
17.128044,100.146278,329.46,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.57,1.32,D,0
17.246616,100.875214,337.65,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,300.28,3.17,D,0
17.132999,100.134247,353.9,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.37,6.72,D,0
17.134632,100.122765,347.95,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,303.56,7.2,D,0
17.112511,99.980377,332.16,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.96,1.93,D,0
17.073488,99.642937,328.95,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,299.28,2.11,D,0
17.340252,101.362312,327.82,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,297.7,2.08,D,0
17.137693,100.032425,333.51,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.19,3.4,D,0
17.243374,100.546371,332.77,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,296.49,1.1,D,0
16.945749,98.587006,339.08,0.43,0.38,2021-12-01,0630,N,VIIRS,n,1,300.91,4.44,D,0
16.948942,98.54126,326.91,0.43,0.38,2021-12-01,0630,N,VIIRS,l,1,301.1,2.98,D,0
16.959806,98.564003,349.27,0.43,0.38,2021-12-01,0630,N,VIIRS,n,1,302.85,6.95,D,0
16.957193,98.548035,330.9,0.43,0.38,2021-12-01,0630,N,VIIRS,n,1,300.41,1.98,D,0
16.970652,98.586708,334.8,0.43,0.38,2021-12-01,0630,N,VIIRS,n,1,301.46,4.47,D,0
16.976715,98.602043,333.63,0.42,0.38,2021-12-01,0630,N,VIIRS,n,1,299.67,2.73,D,0
16.998358,98.647652,337.32,0.42,0.38,2021-12-01,0630,N,VIIRS,n,1,298.92,4.33,D,0
17.229223,100.080185,347.35,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,302.57,12.43,D,0
17.23255,100.079628,345.56,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.64,12.43,D,0
17.572546,102.322929,328.63,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,299.16,2.3,D,0
17.408251,101.051323,330.71,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,298.07,3.05,D,0
17.628586,102.368614,331.93,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,299.48,2.09,D,0
17.285864,99.965904,333.93,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.77,2.97,D,0
17.151108,99.116043,337.41,0.41,0.37,2021-12-01,0630,N,VIIRS,n,1,302.39,2.67,D,0
17.203558,99.247826,344.99,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,300.02,5.26,D,0
17.975706,104.186966,331.83,0.47,0.4,2021-12-01,0630,N,VIIRS,n,1,297.83,2.05,D,0
17.401323,100.144241,333.67,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.87,3.33,D,0
17.400759,100.140602,345.98,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.79,4.46,D,0
17.331266,99.697289,329.59,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.77,1.83,D,0
17.394447,100.078148,340.48,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.85,3.51,D,0
17.432714,100.302879,342,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,301.56,4.18,D,0
