OBJECTID,FID_output_XYTableToPoint,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,id,easting,northing,zone_number,zone_letter,Date,Date_Ordinal,Cluster,FID_อุทยานแห่งชาติแม่ปิง_Merge,AREA,PERIMETER,PROV_CODE,PROV_NAM_T,PROV_NAM_E,REGION,DNPO_CODE,DNPO_TH,LOCATION,TYPT,FR_ID,FR_NAME,PROVINCE,SOURCE,TYPE,F_CODE,KM2,RAI,fullname
1081,402,17.51114,98.72794,331.24,0.52,0.5,2023-02-28,707,1,VIIRS,n,2.0NRT,299.15,5.58,D,402,471120.61,1936121.953,47,Q,2023-02-28,738579,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1082,903,17.51133,98.87966,347.01,0.42,0.38,2023-03-02,629,1,VIIRS,n,2.0NRT,309.57,7.94,D,903,487225.8564,1936126.379,47,Q,2023-03-02,738581,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1083,2583,17.51133,98.87897,301.87,0.58,0.52,2023-03-01,1832,N,VIIRS,n,2.0NRT,290.53,1.51,N,2583,487152.6125,1936126.425,47,Q,2023-03-01,738580,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1084,2392,17.5113,98.79545,338.53,0.46,0.39,2023-02-28,1849,N,VIIRS,n,2.0NRT,290.26,2.58,N,2392,478286.8996,1936130.685,47,Q,2023-02-28,738579,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1085,2656,17.51143,98.84691,348.71,0.42,0.61,2023-03-02,722,N,VIIRS,n,2.0NRT,302.94,4.94,D,2656,483749.4324,1936139.938,47,Q,2023-03-02,738581,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1086,736,17.51142,98.80304,303.13,0.55,0.43,2023-03-01,1919,1,VIIRS,n,2.0NRT,289.99,0.5,N,736,479092.5989,1936143.112,47,Q,2023-03-01,738580,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1087,9,17.5114,98.78267,342.5,0.41,0.45,2023-02-23,701,1,VIIRS,n,2.0NRT,298.42,17.1,D,9,476930.3027,1936143.251,47,Q,2023-02-23,738574,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1088,467,17.51148,98.79498,336.65,0.37,0.58,2023-02-28,1938,1,VIIRS,n,2.0NRT,288.67,1.61,N,467,478237.0301,1936150.653,47,Q,2023-02-28,738579,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1089,2406,17.51147,98.71514,302.11,0.47,0.39,2023-02-28,1849,N,VIIRS,n,2.0NRT,291.07,0.65,N,2406,469761.9252,1936160.448,47,Q,2023-02-28,738579,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1090,561,17.51169,98.87337,346.03,0.43,0.38,2023-03-01,648,1,VIIRS,n,2.0NRT,308.89,5.02,D,561,486558.1957,1936166.639,47,Q,2023-03-01,738580,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
