OID_,FID_SUOMI_XYTableToPoint,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,FID_อุทยานแห่งชาติแม่ปิง_Merge,AREA,PERIMETER,PROV_CODE,PROV_NAM_T,PROV_NAM_E,REGION,DNPO_CODE,DNPO_TH,LOCATION,TYPT,FR_ID,FR_NAME,PROVINCE,SOURCE,TYPE,F_CODE,KM2,RAI,fullname
888,19185,17.627820000000000,98.819500000000005,346.329999999999984,0.420000000000000,0.610000000000000,3/2/2023 0:00:00,722,N,VIIRS,n,2.0NRT,302.620000000000005,4.350000000000000,D,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
889,17334,17.627859999999998,98.832430000000002,304.959999999999980,0.590000000000000,0.530000000000000,3/1/2023 0:00:00,1832,N,VIIRS,n,2.0NRT,290.839999999999975,1.370000000000000,N,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
890,17330,17.632700000000000,98.833330000000004,302.410000000000025,0.590000000000000,0.530000000000000,3/1/2023 0:00:00,1832,N,VIIRS,n,2.0NRT,290.990000000000009,1.370000000000000,N,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
891,19828,17.633099999999999,98.845749999999995,302.689999999999998,0.600000000000000,0.710000000000000,3/2/2023 0:00:00,1810,N,VIIRS,n,2.0NRT,290.329999999999984,1.110000000000000,N,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
892,19188,17.635760000000001,98.841049999999996,338.569999999999993,0.420000000000000,0.610000000000000,3/2/2023 0:00:00,722,N,VIIRS,n,2.0NRT,302.319999999999993,6.740000000000000,D,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
893,52,17.635940000000002,98.885540000000006,331.649999999999977,0.500000000000000,0.490000000000000,2/23/2023 0:00:00,612,N,VIIRS,n,2.0NRT,293.860000000000014,3.160000000000000,D,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
894,19187,17.636160000000000,98.845050000000001,330.139999999999986,0.420000000000000,0.610000000000000,3/2/2023 0:00:00,722,N,VIIRS,l,2.0NRT,300.730000000000018,5.720000000000000,D,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
895,17323,17.639679999999998,98.857799999999997,319.709999999999980,0.580000000000000,0.520000000000000,3/1/2023 0:00:00,1832,N,VIIRS,n,2.0NRT,293.360000000000014,2.780000000000000,N,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
896,1541,17.639710000000001,98.837800000000001,305.720000000000027,0.550000000000000,0.430000000000000,2/23/2023 0:00:00,1845,N,VIIRS,n,2.0NRT,291.310000000000002,1.200000000000000,N,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
897,17322,17.640339999999998,98.852230000000006,307.939999999999998,0.590000000000000,0.520000000000000,3/1/2023 0:00:00,1832,N,VIIRS,n,2.0NRT,292.730000000000018,2.780000000000000,N,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
898,21195,17.642510000000001,98.884699999999995,330.870000000000005,0.420000000000000,0.450000000000000,3/3/2023 0:00:00,701,N,VIIRS,l,2.0NRT,303.259999999999991,4.230000000000000,D,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
899,21200,17.643219999999999,98.881649999999993,332.110000000000014,0.420000000000000,0.450000000000000,3/3/2023 0:00:00,701,N,VIIRS,l,2.0NRT,302.870000000000005,7.510000000000000,D,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
900,21194,17.643500000000000,98.892460000000000,333.350000000000023,0.420000000000000,0.450000000000000,3/3/2023 0:00:00,701,N,VIIRS,n,2.0NRT,303.040000000000020,5.740000000000000,D,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
901,1539,17.643619999999999,98.838579999999993,307.300000000000011,0.550000000000000,0.430000000000000,2/23/2023 0:00:00,1845,N,VIIRS,n,2.0NRT,292.220000000000027,1.200000000000000,N,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
902,17320,17.643840000000001,98.864350000000002,303.050000000000011,0.580000000000000,0.520000000000000,3/1/2023 0:00:00,1832,N,VIIRS,n,2.0NRT,292.149999999999977,1.440000000000000,N,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
903,21199,17.644620000000000,98.893299999999996,335.389999999999986,0.420000000000000,0.450000000000000,3/3/2023 0:00:00,701,N,VIIRS,n,2.0NRT,302.370000000000005,4.210000000000000,D,3,552428032.0000000,265915.0000000,51,จ.ลำพูน,Changwat Lamphun,ภาคเหนือ,16A,สำนักบริหารพื้นท,เชียงใหม่,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,552.427621336000016,345267.531250000000000,อุทยานแห่งชาติ แม่ปิง
